priority,canonical_id,domain,vi_standard,vi_aliases,en_standard,review_question,source_url
P1,C0179,piping_plumbing,độ dốc ống,slope ống,pipe slope,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P0,C0180,piping_plumbing,thử áp,test áp,pressure test,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0183,material_logistics,đá dăm,đá 1x2,crushed stone,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0185,material_logistics,ván ép,ván plywood,plywood,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0186,material_logistics,thép hình,thép H|thép I,structural steel,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0187,material_logistics,pallet,pa-lét,pallet,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0188,material_logistics,kho vật tư,kho,material storage area,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0189,material_logistics,bãi tập kết,bãi vật tư,laydown area,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0190,material_logistics,lối đi bộ,lối người đi,pedestrian walkway,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0191,material_logistics,lối xe chạy,đường xe chạy,vehicle route,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0192,material_logistics,container kho,container vật tư,storage container,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0193,material_logistics,phiếu xuất kho,phiếu xuất,material issue slip,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0194,material_logistics,mã vật tư,part number|mã hàng,material code,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0195,material_logistics,số lượng,qty,quantity,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0196,material_logistics,khối lượng,trọng lượng,weight,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0197,material_logistics,kiện hàng,kiện,package,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0198,material_logistics,dây chằng hàng,dây chằng,cargo tie-down,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0199,survey_measurement,cao độ,level,elevation,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0200,survey_measurement,tim trục,tim|trục định vị,grid line,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0201,survey_measurement,mốc chuẩn,mốc cao độ,benchmark,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0202,survey_measurement,máy toàn đạc,total station,total station,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0203,survey_measurement,máy thủy bình,máy level,automatic level,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0204,survey_measurement,mia thủy chuẩn,mia,leveling staff,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0205,survey_measurement,thước thép,thước cuộn,steel tape measure,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0206,survey_measurement,thước laser,máy đo laser,laser distance meter,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0207,survey_measurement,độ thẳng đứng,độ đứng,verticality,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0214,survey_measurement,đường kính,phi|Ø,diameter,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0215,survey_measurement,sai số,dung sai,tolerance,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
