canonical_id,domain,vi_standard,vi_aliases,en_standard,kind,risk_level,source_support,source_url,synthetic_translation,review_status
C0163,piping_plumbing,ống cấp nước,ống nước,water supply pipe,component,medium,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0164,piping_plumbing,ống thoát nước,ống thoát,drain pipe,component,medium,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0165,piping_plumbing,ống PPR,,PPR pipe,component,medium,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0166,piping_plumbing,ống thép mạ kẽm,ống GI,galvanized steel pipe,component,medium,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0167,piping_plumbing,van bi,,ball valve,component,medium,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0168,piping_plumbing,van cổng,,gate valve,component,medium,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0169,piping_plumbing,van một chiều,van 1 chiều,check valve,component,high,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0170,piping_plumbing,cút 90 độ,co 90,90-degree elbow,component,medium,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0171,piping_plumbing,tê ống,tê,pipe tee,component,medium,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0172,piping_plumbing,măng sông,nối ống thẳng,coupling sleeve,component,medium,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0173,piping_plumbing,đồng hồ áp suất,đồng hồ áp,pressure gauge,measurement,high,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0174,piping_plumbing,rò nước,xì nước,water leak,hazard,high,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0175,piping_plumbing,rò khí,xì gas|xì khí,gas leak,hazard,critical,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0176,piping_plumbing,bơm tăng áp,,booster pump,equipment,high,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0177,piping_plumbing,bơm chìm,,submersible pump,equipment,medium,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0178,piping_plumbing,giá đỡ ống,support ống,pipe support,component,high,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0179,piping_plumbing,độ dốc ống,slope ống,pipe slope,measurement,high,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0180,piping_plumbing,thử áp,test áp,pressure test,process,critical,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0181,material_logistics,xi măng,,cement,material,medium,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0182,material_logistics,cát,,sand,material,low,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0183,material_logistics,đá dăm,đá 1x2,crushed stone,material,low,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0184,material_logistics,gạch,,brick,material,low,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0185,material_logistics,ván ép,ván plywood,plywood,material,medium,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0186,material_logistics,thép hình,thép H|thép I,structural steel,material,high,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0187,material_logistics,pallet,pa-lét,pallet,equipment,medium,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0188,material_logistics,kho vật tư,kho,material storage area,location,medium,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0189,material_logistics,bãi tập kết,bãi vật tư,laydown area,location,medium,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0190,material_logistics,lối đi bộ,lối người đi,pedestrian walkway,location,high,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0191,material_logistics,lối xe chạy,đường xe chạy,vehicle route,location,high,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0192,material_logistics,container kho,container vật tư,storage container,location,medium,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0193,material_logistics,phiếu xuất kho,phiếu xuất,material issue slip,document,low,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0194,material_logistics,mã vật tư,part number|mã hàng,material code,document,medium,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0195,material_logistics,số lượng,qty,quantity,measurement,medium,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0196,material_logistics,khối lượng,trọng lượng,weight,measurement,high,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0197,material_logistics,kiện hàng,kiện,package,object,medium,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0198,material_logistics,dây chằng hàng,dây chằng,cargo tie-down,component,high,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0199,survey_measurement,cao độ,level,elevation,measurement,high,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0200,survey_measurement,tim trục,tim|trục định vị,grid line,measurement,high,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0201,survey_measurement,mốc chuẩn,mốc cao độ,benchmark,measurement,high,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0202,survey_measurement,máy toàn đạc,total station,total station,equipment,medium,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0203,survey_measurement,máy thủy bình,máy level,automatic level,equipment,medium,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0204,survey_measurement,mia thủy chuẩn,mia,leveling staff,equipment,low,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0205,survey_measurement,thước thép,thước cuộn,steel tape measure,equipment,low,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0206,survey_measurement,thước laser,máy đo laser,laser distance meter,equipment,medium,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0207,survey_measurement,độ thẳng đứng,độ đứng,verticality,measurement,high,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0208,survey_measurement,độ phẳng,,flatness,measurement,medium,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0209,survey_measurement,khoảng cách,,distance,measurement,medium,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0210,survey_measurement,chiều dài,,length,measurement,medium,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0211,survey_measurement,chiều rộng,,width,measurement,medium,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0212,survey_measurement,chiều cao,,height,measurement,medium,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0213,survey_measurement,góc,,angle,measurement,medium,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0214,survey_measurement,đường kính,phi|Ø,diameter,measurement,medium,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0215,survey_measurement,sai số,dung sai,tolerance,measurement,high,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
C0216,survey_measurement,tọa độ,,coordinate,measurement,high,domain_scope,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388,True,needs_domain_expert_review
