minimal_pair_id,contrast_type,domain,a_vi,a_en,b_vi,b_en,critical_fields,synthetic,review_status
MP0149,number,lifting_rigging,Di chuyển chân chống cẩu 30 mét.,Move the outrigger 30 meters.,Di chuyển chân chống cẩu 200 mét.,Move the outrigger 200 meters.,number;unit,True,needs_domain_expert_review
MP0150,number,lifting_rigging,Di chuyển điểm nâng 100 mi-li-mét.,Move the lifting point 100 millimeters.,Di chuyển điểm nâng 50 mi-li-mét.,Move the lifting point 50 millimeters.,number;unit,True,needs_domain_expert_review
MP0151,number,lifting_rigging,Di chuyển thanh cân bằng 100 mét.,Move the spreader beam 100 meters.,Di chuyển thanh cân bằng 20 mét.,Move the spreader beam 20 meters.,number;unit,True,needs_domain_expert_review
MP0152,number,lifting_rigging,Di chuyển ma ní 30 xen-ti-mét.,Move the shackle 30 centimeters.,Di chuyển ma ní 50 xen-ti-mét.,Move the shackle 50 centimeters.,number;unit,True,needs_domain_expert_review
MP0153,number,lifting_rigging,Di chuyển bán kính quay 50 xen-ti-mét.,Move the swing radius 50 centimeters.,Di chuyển bán kính quay 10 xen-ti-mét.,Move the swing radius 10 centimeters.,number;unit,True,needs_domain_expert_review
MP0154,number,heavy_equipment,Di chuyển máy san 100 xen-ti-mét.,Move the motor grader 100 centimeters.,Di chuyển máy san 50 xen-ti-mét.,Move the motor grader 50 centimeters.,number;unit,True,needs_domain_expert_review
MP0155,number,heavy_equipment,Di chuyển máy ủi 50 mét.,Move the bulldozer 50 meters.,Di chuyển máy ủi 100 mét.,Move the bulldozer 100 meters.,number;unit,True,needs_domain_expert_review
MP0156,number,heavy_equipment,Di chuyển xe nâng 50 xen-ti-mét.,Move the forklift 50 centimeters.,Di chuyển xe nâng 10 xen-ti-mét.,Move the forklift 10 centimeters.,number;unit,True,needs_domain_expert_review
MP0157,number,lifting_rigging,Di chuyển cần chính 30 mi-li-mét.,Move the boom 30 millimeters.,Di chuyển cần chính 100 mi-li-mét.,Move the boom 100 millimeters.,number;unit,True,needs_domain_expert_review
MP0158,number,heavy_equipment,Di chuyển đường công vụ 10 mi-li-mét.,Move the haul road 10 millimeters.,Di chuyển đường công vụ 20 mi-li-mét.,Move the haul road 20 millimeters.,number;unit,True,needs_domain_expert_review
MP0159,number,lifting_rigging,Di chuyển bán kính quay 10 mét.,Move the swing radius 10 meters.,Di chuyển bán kính quay 20 mét.,Move the swing radius 20 meters.,number;unit,True,needs_domain_expert_review
MP0160,number,lifting_rigging,Di chuyển ma ní 10 mi-li-mét.,Move the shackle 10 millimeters.,Di chuyển ma ní 100 mi-li-mét.,Move the shackle 100 millimeters.,number;unit,True,needs_domain_expert_review
MP0161,direction,heavy_equipment,Di chuyển điểm rửa bánh xe sang xuống.,Move the wheel wash station down.,Di chuyển điểm rửa bánh xe sang trái.,Move the wheel wash station to the left.,direction,True,needs_domain_expert_review
MP0162,direction,lifting_rigging,Di chuyển thanh cân bằng sang lên.,Move the spreader beam up.,Di chuyển thanh cân bằng sang phải.,Move the spreader beam to the right.,direction,True,needs_domain_expert_review
MP0163,direction,heavy_equipment,Di chuyển máy đào bánh xích sang trái.,Move the crawler excavator to the left.,Di chuyển máy đào bánh xích sang xuống.,Move the crawler excavator down.,direction,True,needs_domain_expert_review
MP0164,direction,heavy_equipment,Di chuyển khu vực quay máy sang xuống.,Move the equipment swing area down.,Di chuyển khu vực quay máy sang trái.,Move the equipment swing area to the left.,direction,True,needs_domain_expert_review
MP0165,direction,heavy_equipment,Di chuyển máy đào bánh xích sang phải.,Move the crawler excavator to the right.,Di chuyển máy đào bánh xích sang lên.,Move the crawler excavator up.,direction,True,needs_domain_expert_review
MP0166,direction,heavy_equipment,Di chuyển xe ben sang lên.,Move the dump truck up.,Di chuyển xe ben sang xuống.,Move the dump truck down.,direction,True,needs_domain_expert_review
MP0167,direction,lifting_rigging,Di chuyển cáp thép sang phải.,Move the wire rope to the right.,Di chuyển cáp thép sang xuống.,Move the wire rope down.,direction,True,needs_domain_expert_review
MP0168,direction,lifting_rigging,Di chuyển tải trọng làm việc an toàn sang phải.,Move the safe working load to the right.,Di chuyển tải trọng làm việc an toàn sang xuống.,Move the safe working load down.,direction,True,needs_domain_expert_review
MP0169,direction,heavy_equipment,Di chuyển xe lu sang xuống.,Move the road roller down.,Di chuyển xe lu sang phải.,Move the road roller to the right.,direction,True,needs_domain_expert_review
MP0170,direction,heavy_equipment,Di chuyển chốt an toàn sang lên.,Move the safety pin up.,Di chuyển chốt an toàn sang trái.,Move the safety pin to the left.,direction,True,needs_domain_expert_review
MP0171,direction,lifting_rigging,Di chuyển tải trọng làm việc an toàn sang trái.,Move the safe working load to the left.,Di chuyển tải trọng làm việc an toàn sang phải.,Move the safe working load to the right.,direction,True,needs_domain_expert_review
MP0172,direction,heavy_equipment,Di chuyển người hướng dẫn xe sang trái.,Move the spotter to the left.,Di chuyển người hướng dẫn xe sang phải.,Move the spotter to the right.,direction,True,needs_domain_expert_review
MP0173,direction,lifting_rigging,Di chuyển bán kính quay sang xuống.,Move the swing radius down.,Di chuyển bán kính quay sang trái.,Move the swing radius to the left.,direction,True,needs_domain_expert_review
MP0174,direction,heavy_equipment,Di chuyển máy san sang trái.,Move the motor grader to the left.,Di chuyển máy san sang phải.,Move the motor grader to the right.,direction,True,needs_domain_expert_review
MP0175,direction,heavy_equipment,Di chuyển máy san sang phải.,Move the motor grader to the right.,Di chuyển máy san sang xuống.,Move the motor grader down.,direction,True,needs_domain_expert_review
MP0176,direction,heavy_equipment,Di chuyển phanh đỗ sang phải.,Move the parking brake to the right.,Di chuyển phanh đỗ sang trái.,Move the parking brake to the left.,direction,True,needs_domain_expert_review
MP0177,direction,heavy_equipment,Di chuyển xe ben sang trái.,Move the dump truck to the left.,Di chuyển xe ben sang lên.,Move the dump truck up.,direction,True,needs_domain_expert_review
MP0178,direction,lifting_rigging,Di chuyển pa lăng sang lên.,Move the hoist up.,Di chuyển pa lăng sang phải.,Move the hoist to the right.,direction,True,needs_domain_expert_review
MP0179,direction,heavy_equipment,Di chuyển đường công vụ sang xuống.,Move the haul road down.,Di chuyển đường công vụ sang lên.,Move the haul road up.,direction,True,needs_domain_expert_review
MP0180,direction,heavy_equipment,Di chuyển máy xúc sang xuống.,Move the excavator down.,Di chuyển máy xúc sang phải.,Move the excavator to the right.,direction,True,needs_domain_expert_review
MP0181,direction,lifting_rigging,Di chuyển tải trọng định mức sang xuống.,Move the rated load down.,Di chuyển tải trọng định mức sang trái.,Move the rated load to the left.,direction,True,needs_domain_expert_review
MP0182,direction,heavy_equipment,Di chuyển phanh đỗ sang xuống.,Move the parking brake down.,Di chuyển phanh đỗ sang trái.,Move the parking brake to the left.,direction,True,needs_domain_expert_review
MP0183,direction,lifting_rigging,Di chuyển dây điều hướng sang lên.,Move the tag line up.,Di chuyển dây điều hướng sang trái.,Move the tag line to the left.,direction,True,needs_domain_expert_review
MP0184,direction,lifting_rigging,Di chuyển tải treo sang xuống.,Move the suspended load down.,Di chuyển tải treo sang phải.,Move the suspended load to the right.,direction,True,needs_domain_expert_review
MP0185,direction,heavy_equipment,Di chuyển máy xúc sang trái.,Move the excavator to the left.,Di chuyển máy xúc sang phải.,Move the excavator to the right.,direction,True,needs_domain_expert_review
MP0186,direction,lifting_rigging,Di chuyển tải treo sang lên.,Move the suspended load up.,Di chuyển tải treo sang phải.,Move the suspended load to the right.,direction,True,needs_domain_expert_review
MP0187,direction,heavy_equipment,Di chuyển xe ben sang phải.,Move the dump truck to the right.,Di chuyển xe ben sang xuống.,Move the dump truck down.,direction,True,needs_domain_expert_review
MP0188,direction,lifting_rigging,Di chuyển thanh cân bằng sang trái.,Move the spreader beam to the left.,Di chuyển thanh cân bằng sang xuống.,Move the spreader beam down.,direction,True,needs_domain_expert_review
MP0189,direction,heavy_equipment,Di chuyển máy xúc sang phải.,Move the excavator to the right.,Di chuyển máy xúc sang lên.,Move the excavator up.,direction,True,needs_domain_expert_review
MP0190,direction,heavy_equipment,Di chuyển máy san sang lên.,Move the motor grader up.,Di chuyển máy san sang trái.,Move the motor grader to the left.,direction,True,needs_domain_expert_review
MP0191,direction,heavy_equipment,Di chuyển điểm mù sang trái.,Move the blind spot to the left.,Di chuyển điểm mù sang xuống.,Move the blind spot down.,direction,True,needs_domain_expert_review
MP0192,direction,heavy_equipment,Di chuyển điểm mù sang trái.,Move the blind spot to the left.,Di chuyển điểm mù sang lên.,Move the blind spot up.,direction,True,needs_domain_expert_review
MP0193,direction,lifting_rigging,Di chuyển chân chống cẩu sang phải.,Move the outrigger to the right.,Di chuyển chân chống cẩu sang trái.,Move the outrigger to the left.,direction,True,needs_domain_expert_review
MP0194,direction,heavy_equipment,Di chuyển điểm mù sang phải.,Move the blind spot to the right.,Di chuyển điểm mù sang trái.,Move the blind spot to the left.,direction,True,needs_domain_expert_review
MP0195,direction,lifting_rigging,Di chuyển cần cẩu sang xuống.,Move the crane down.,Di chuyển cần cẩu sang phải.,Move the crane to the right.,direction,True,needs_domain_expert_review
MP0196,direction,lifting_rigging,Di chuyển ma ní sang xuống.,Move the shackle down.,Di chuyển ma ní sang trái.,Move the shackle to the left.,direction,True,needs_domain_expert_review
MP0197,direction,lifting_rigging,Di chuyển người móc cẩu sang xuống.,Move the rigger down.,Di chuyển người móc cẩu sang trái.,Move the rigger to the left.,direction,True,needs_domain_expert_review
MP0198,direction,heavy_equipment,Di chuyển xe lu sang trái.,Move the road roller to the left.,Di chuyển xe lu sang phải.,Move the road roller to the right.,direction,True,needs_domain_expert_review
MP0199,direction,heavy_equipment,Di chuyển lưỡi ủi sang phải.,Move the dozer blade to the right.,Di chuyển lưỡi ủi sang lên.,Move the dozer blade up.,direction,True,needs_domain_expert_review
MP0200,direction,heavy_equipment,Di chuyển phanh đỗ sang phải.,Move the parking brake to the right.,Di chuyển phanh đỗ sang xuống.,Move the parking brake down.,direction,True,needs_domain_expert_review
MP0201,direction,lifting_rigging,Di chuyển tải trọng làm việc an toàn sang phải.,Move the safe working load to the right.,Di chuyển tải trọng làm việc an toàn sang trái.,Move the safe working load to the left.,direction,True,needs_domain_expert_review
MP0202,direction,heavy_equipment,Di chuyển khu vực quay máy sang lên.,Move the equipment swing area up.,Di chuyển khu vực quay máy sang xuống.,Move the equipment swing area down.,direction,True,needs_domain_expert_review
MP0203,direction,lifting_rigging,Di chuyển người móc cẩu sang phải.,Move the rigger to the right.,Di chuyển người móc cẩu sang lên.,Move the rigger up.,direction,True,needs_domain_expert_review
MP0204,direction,heavy_equipment,Di chuyển điểm rửa bánh xe sang lên.,Move the wheel wash station up.,Di chuyển điểm rửa bánh xe sang phải.,Move the wheel wash station to the right.,direction,True,needs_domain_expert_review
MP0205,direction,lifting_rigging,Di chuyển móc cẩu sang xuống.,Move the lifting hook down.,Di chuyển móc cẩu sang phải.,Move the lifting hook to the right.,direction,True,needs_domain_expert_review
MP0206,direction,heavy_equipment,Di chuyển máy đào bánh lốp sang trái.,Move the wheeled excavator to the left.,Di chuyển máy đào bánh lốp sang phải.,Move the wheeled excavator to the right.,direction,True,needs_domain_expert_review
MP0207,direction,heavy_equipment,Di chuyển đường công vụ sang xuống.,Move the haul road down.,Di chuyển đường công vụ sang lên.,Move the haul road up.,direction,True,needs_domain_expert_review
MP0208,direction,heavy_equipment,Di chuyển gầu xúc sang lên.,Move the bucket up.,Di chuyển gầu xúc sang trái.,Move the bucket to the left.,direction,True,needs_domain_expert_review
MP0209,direction,heavy_equipment,Di chuyển đường công vụ sang lên.,Move the haul road up.,Di chuyển đường công vụ sang xuống.,Move the haul road down.,direction,True,needs_domain_expert_review
MP0210,direction,lifting_rigging,Di chuyển điểm nâng sang phải.,Move the lifting point to the right.,Di chuyển điểm nâng sang lên.,Move the lifting point up.,direction,True,needs_domain_expert_review
MP0211,direction,lifting_rigging,Di chuyển tải trọng định mức sang xuống.,Move the rated load down.,Di chuyển tải trọng định mức sang phải.,Move the rated load to the right.,direction,True,needs_domain_expert_review
MP0212,direction,lifting_rigging,Di chuyển điểm nâng sang trái.,Move the lifting point to the left.,Di chuyển điểm nâng sang xuống.,Move the lifting point down.,direction,True,needs_domain_expert_review
MP0213,direction,lifting_rigging,Di chuyển ma ní sang lên.,Move the shackle up.,Di chuyển ma ní sang xuống.,Move the shackle down.,direction,True,needs_domain_expert_review
MP0214,direction,lifting_rigging,Di chuyển dây cẩu sang trái.,Move the lifting sling to the left.,Di chuyển dây cẩu sang lên.,Move the lifting sling up.,direction,True,needs_domain_expert_review
MP0215,direction,heavy_equipment,Di chuyển máy san sang xuống.,Move the motor grader down.,Di chuyển máy san sang trái.,Move the motor grader to the left.,direction,True,needs_domain_expert_review
MP0216,direction,lifting_rigging,Di chuyển người móc cẩu sang lên.,Move the rigger up.,Di chuyển người móc cẩu sang trái.,Move the rigger to the left.,direction,True,needs_domain_expert_review
MP0217,direction,heavy_equipment,Di chuyển xe lu sang trái.,Move the road roller to the left.,Di chuyển xe lu sang xuống.,Move the road roller down.,direction,True,needs_domain_expert_review
MP0218,direction,lifting_rigging,Di chuyển người móc cẩu sang phải.,Move the rigger to the right.,Di chuyển người móc cẩu sang xuống.,Move the rigger down.,direction,True,needs_domain_expert_review
MP0219,direction,lifting_rigging,Di chuyển cần cẩu sang phải.,Move the crane to the right.,Di chuyển cần cẩu sang lên.,Move the crane up.,direction,True,needs_domain_expert_review
MP0220,direction,heavy_equipment,Di chuyển máy xúc sang xuống.,Move the excavator down.,Di chuyển máy xúc sang phải.,Move the excavator to the right.,direction,True,needs_domain_expert_review
MP0221,direction,lifting_rigging,Di chuyển bán kính quay sang lên.,Move the swing radius up.,Di chuyển bán kính quay sang phải.,Move the swing radius to the right.,direction,True,needs_domain_expert_review
MP0222,direction,lifting_rigging,Di chuyển tải trọng làm việc an toàn sang phải.,Move the safe working load to the right.,Di chuyển tải trọng làm việc an toàn sang xuống.,Move the safe working load down.,direction,True,needs_domain_expert_review
MP0223,direction,lifting_rigging,Di chuyển dây điều hướng sang trái.,Move the tag line to the left.,Di chuyển dây điều hướng sang phải.,Move the tag line to the right.,direction,True,needs_domain_expert_review
MP0224,direction,heavy_equipment,Di chuyển xe nâng sang xuống.,Move the forklift down.,Di chuyển xe nâng sang phải.,Move the forklift to the right.,direction,True,needs_domain_expert_review
MP0225,direction,heavy_equipment,Di chuyển máy đào bánh lốp sang xuống.,Move the wheeled excavator down.,Di chuyển máy đào bánh lốp sang lên.,Move the wheeled excavator up.,direction,True,needs_domain_expert_review
MP0226,direction,heavy_equipment,Di chuyển điểm rửa bánh xe sang lên.,Move the wheel wash station up.,Di chuyển điểm rửa bánh xe sang trái.,Move the wheel wash station to the left.,direction,True,needs_domain_expert_review
MP0227,direction,heavy_equipment,Di chuyển điểm rửa bánh xe sang xuống.,Move the wheel wash station down.,Di chuyển điểm rửa bánh xe sang lên.,Move the wheel wash station up.,direction,True,needs_domain_expert_review
MP0228,direction,lifting_rigging,Di chuyển ma ní sang phải.,Move the shackle to the right.,Di chuyển ma ní sang xuống.,Move the shackle down.,direction,True,needs_domain_expert_review
MP0229,direction,lifting_rigging,Di chuyển cần cẩu sang trái.,Move the crane to the left.,Di chuyển cần cẩu sang phải.,Move the crane to the right.,direction,True,needs_domain_expert_review
MP0230,direction,lifting_rigging,Di chuyển tải trọng định mức sang lên.,Move the rated load up.,Di chuyển tải trọng định mức sang xuống.,Move the rated load down.,direction,True,needs_domain_expert_review
MP0231,direction,heavy_equipment,Di chuyển người hướng dẫn xe sang xuống.,Move the spotter down.,Di chuyển người hướng dẫn xe sang lên.,Move the spotter up.,direction,True,needs_domain_expert_review
MP0232,direction,lifting_rigging,Di chuyển tải treo sang trái.,Move the suspended load to the left.,Di chuyển tải treo sang phải.,Move the suspended load to the right.,direction,True,needs_domain_expert_review
MP0233,direction,lifting_rigging,Di chuyển cáp thép sang xuống.,Move the wire rope down.,Di chuyển cáp thép sang phải.,Move the wire rope to the right.,direction,True,needs_domain_expert_review
MP0234,direction,lifting_rigging,Di chuyển dây điều hướng sang phải.,Move the tag line to the right.,Di chuyển dây điều hướng sang lên.,Move the tag line up.,direction,True,needs_domain_expert_review
MP0235,direction,heavy_equipment,Di chuyển xe lu sang lên.,Move the road roller up.,Di chuyển xe lu sang phải.,Move the road roller to the right.,direction,True,needs_domain_expert_review
MP0236,direction,heavy_equipment,Di chuyển máy xúc sang trái.,Move the excavator to the left.,Di chuyển máy xúc sang lên.,Move the excavator up.,direction,True,needs_domain_expert_review
MP0237,direction,heavy_equipment,Di chuyển còi lùi sang lên.,Move the reverse alarm up.,Di chuyển còi lùi sang xuống.,Move the reverse alarm down.,direction,True,needs_domain_expert_review
MP0238,direction,lifting_rigging,Di chuyển ma ní sang lên.,Move the shackle up.,Di chuyển ma ní sang phải.,Move the shackle to the right.,direction,True,needs_domain_expert_review
MP0239,direction,lifting_rigging,Di chuyển bán kính quay sang xuống.,Move the swing radius down.,Di chuyển bán kính quay sang phải.,Move the swing radius to the right.,direction,True,needs_domain_expert_review
MP0240,direction,heavy_equipment,Di chuyển người hướng dẫn xe sang trái.,Move the spotter to the left.,Di chuyển người hướng dẫn xe sang lên.,Move the spotter up.,direction,True,needs_domain_expert_review
